Name,Style,Speaker ID
四国めたん,ノーマル,2
四国めたん,あまあま,0
四国めたん,ツンツン,6
四国めたん,セクシー,4
四国めたん,ささやき,36
四国めたん,ヒソヒソ,37
ずんだもん,ノーマル,3
ずんだもん,あまあま,1
ずんだもん,ツンツン,7
ずんだもん,セクシー,5
ずんだもん,ささやき,22
ずんだもん,ヒソヒソ,38
ずんだもん,ヘロヘロ,75
ずんだもん,なみだめ,76
春日部つむぎ,ノーマル,8
雨晴はう,ノーマル,10
波音リツ,ノーマル,9
波音リツ,クイーン,65
玄野武宏,ノーマル,11
玄野武宏,喜び,39
玄野武宏,ツンギレ,40
玄野武宏,悲しみ,41
白上虎太郎,ふつう,12
白上虎太郎,わーい,32
白上虎太郎,びくびく,33
白上虎太郎,おこ,34
白上虎太郎,びえーん,35
青山龍星,ノーマル,13
青山龍星,熱血,81
青山龍星,不機嫌,82
青山龍星,喜び,83
青山龍星,しっとり,84
青山龍星,かなしみ,85
青山龍星,囁き,86
冥鳴ひまり,ノーマル,14
九州そら,ノーマル,16
九州そら,あまあま,15
九州そら,ツンツン,18
九州そら,セクシー,17
九州そら,ささやき,19
もち子さん,ノーマル,20
もち子さん,セクシー／あん子,66
もち子さん,泣き,77
もち子さん,怒り,78
もち子さん,喜び,79
もち子さん,のんびり,80
剣崎雌雄,ノーマル,21
WhiteCUL,ノーマル,23
WhiteCUL,たのしい,24
WhiteCUL,かなしい,25
WhiteCUL,びえーん,26
後鬼,人間ver.,27
後鬼,ぬいぐるみver.,28
後鬼,人間（怒り）ver.,87
後鬼,鬼ver.,88
No.7,ノーマル,29
No.7,アナウンス,30
No.7,読み聞かせ,31
ちび式じい,ノーマル,42
櫻歌ミコ,ノーマル,43
櫻歌ミコ,第二形態,44
櫻歌ミコ,ロリ,45
小夜/SAYO,ノーマル,46
ナースロボ＿タイプＴ,ノーマル,47
ナースロボ＿タイプＴ,楽々,48
ナースロボ＿タイプＴ,恐怖,49
ナースロボ＿タイプＴ,内緒話,50
†聖騎士 紅桜†,ノーマル,51
雀松朱司,ノーマル,52
麒ヶ島宗麟,ノーマル,53
春歌ナナ,ノーマル,54
猫使アル,ノーマル,55
猫使アル,おちつき,56
猫使アル,うきうき,57
猫使アル,つよつよ,110
猫使アル,へろへろ,111
猫使ビィ,ノーマル,58
猫使ビィ,おちつき,59
猫使ビィ,人見知り,60
猫使ビィ,つよつよ,112
中国うさぎ,ノーマル,61
中国うさぎ,おどろき,62
中国うさぎ,こわがり,63
中国うさぎ,へろへろ,64
栗田まろん,ノーマル,67
あいえるたん,ノーマル,68
満別花丸,ノーマル,69
満別花丸,元気,70
満別花丸,ささやき,71
満別花丸,ぶりっ子,72
満別花丸,ボーイ,73
琴詠ニア,ノーマル,74
Voidoll,ノーマル,89
ぞん子,ノーマル,90
ぞん子,低血圧,91
ぞん子,覚醒,92
ぞん子,実況風,93
中部つるぎ,ノーマル,94
中部つるぎ,怒り,95
中部つるぎ,ヒソヒソ,96
中部つるぎ,おどおど,97
中部つるぎ,絶望と敗北,98
離途,ノーマル,99
離途,シリアス,101
黒沢冴白,ノーマル,100
ユーレイちゃん,ノーマル,102
ユーレイちゃん,甘々,103
ユーレイちゃん,哀しみ,104
ユーレイちゃん,ささやき,105
ユーレイちゃん,ツクモちゃん,106
東北ずん子,ノーマル,107
東北きりたん,ノーマル,108
東北イタコ,ノーマル,109
